DateTime,AddedIPs,RemovedIPs
1542952323,82,82
1542952923,81,81
1542953524,76,76
1542954123,70,70
1542954723,34,34
1542955323,35,35
1542956523,31,31
1542957723,39,39
1542958322,14,14
1542958923,15,15
1542960123,60,60
1542960724,59,59
1542961323,70,70
1542961923,33,33
1542962523,96,96
1542963123,77,77
1542963723,83,83
1542964923,47,47
1542965522,14,14
1542966123,42,42
1542966723,77,77
1542967324,69,69
1542968522,67,67
1542969123,66,66
1542969724,86,86
1542970323,55,55
1542970923,23,23
1542972123,97,97
1542973322,46,46
1542973923,12,12
1542974523,15,15
1542975122,24,24
1542975723,37,37
1542976322,35,35
1542976923,67,67
1542977523,43,43
1542978122,78,78
1542979323,70,70
1542979923,38,38
1542980523,52,52
1542981123,92,92
1542981723,78,78
1542982323,100,100
1542982922,68,68
1542983523,87,87
1542984125,65,65
1542985323,72,72
1542985923,52,52
1542986523,53,53
1542987723,92,92
1542988924,30,30
1542990123,38,38
1542991323,45,45
1542992523,72,72
1542993723,67,67
1542994923,95,95
1542996123,82,82
1542996724,7,7
1542997322,74,74
1542998523,69,69
1542999723,37,37
1543000324,32,32
1543000923,48,48
1543001523,55,55
1543002123,56,56
1543002722,34,34
1543003323,80,80
1543004523,100,100
1543005724,91,91
1543006923,87,87
1543007523,43,43
1543008123,43,43
1543008723,12,12
1543009323,24,24
1543009923,26,26
1543010523,58,58
1543011723,87,87
1543012323,17,17
1543012923,6,6
1543013523,14,14
1543014123,15,15
1543014723,7,7
1543015323,28,28
1543015923,27,27
1543016524,20,20
1543017124,99,99
1543017724,68,68
1543018323,70,70
1543018922,99,99
1543019523,99,99
1543020123,18,18
1543021323,100,100
1543021925,16,16
1543022524,7,7
1543023123,10,10
1543023723,6,6
1543024323,4,4
1543024923,13,13
1543025523,49,49
1543026123,63,63
1543026723,79,79
1543027323,86,86
1543027924,3,3
1543028524,78,78
1543029124,94,94
1543029723,62,62
1543030324,73,73
1543030923,30,30
1543031523,81,81
1543032122,68,68
1543033323,84,84
1543033923,30,30
1543034524,21,21
1543035123,57,57
1543035723,17,17
1543036322,11,11
1543036923,13,13
1543037523,34,34
1543038123,18,18
1543038722,34,34
1543039324,54,54
1543040523,75,75
1543041123,77,77
1543041723,34,34
1543042923,76,76
1543043523,18,18
1543044123,75,75
1543044722,2,2
1543045323,35,35
1543046523,23,23
1543047123,9,9
1543047724,12,12
1543048323,1,1
1543048923,45,45
1543049523,88,88
1543050123,28,28
1543051323,89,89
1543051923,47,47
1543052523,34,34
1543053123,50,50
1543053723,82,82
1543054923,70,70
1543055523,32,32
1543056123,17,17
1543056724,80,80
1543057322,81,81
1543058523,41,41
